epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60203,2.04405,3.85322,1.69071,0.64151,0.50273,0.52821,0.22274,1.71044,3.92832,1.36312,0.0001375,0.0001375,0.0001375
2,10.3777,1.74968,1.82929,1.43906,0.64176,0.49912,0.54465,0.25124,1.73817,3.39397,1.37263,0.000281807,0.000281807,0.000281807
3,13.9852,1.72124,1.60903,1.38104,0.79417,0.4145,0.57236,0.21984,1.76581,2.26336,1.45251,0.000420175,0.000420175,0.000420175
4,17.487,1.71183,1.51735,1.39995,0.65021,0.4657,0.46477,0.20478,1.9017,1.99974,1.5957,0.000552602,0.000552602,0.000552602
5,20.9956,1.6626,1.38237,1.42545,0.49918,0.21067,0.16514,0.0608,2.3882,3.28481,2.00084,0.00067909,0.00067909,0.00067909
6,24.5371,1.64098,1.36817,1.37702,0.47356,0.24273,0.21609,0.09908,2.11391,2.48626,1.79674,0.000799638,0.000799638,0.000799638
7,28.0456,1.70457,1.33254,1.43071,0.72289,0.45133,0.47565,0.18437,2.13548,2.02599,1.77323,0.000914245,0.000914245,0.000914245
8,31.5202,1.67907,1.35633,1.42814,0.67524,0.41739,0.45748,0.18191,2.15036,2.06216,1.90577,0.00102291,0.00102291,0.00102291
9,35.0153,1.646,1.31178,1.39023,0.77611,0.47603,0.53521,0.22054,2.08022,1.76594,1.75823,0.001052,0.001052,0.001052
10,38.5512,1.6605,1.25977,1.42258,0.381,0.37954,0.33458,0.13487,2.31493,2.24885,1.94252,0.00102725,0.00102725,0.00102725
11,42.0144,1.57541,1.21216,1.37604,0.5413,0.33333,0.28449,0.08952,2.34574,2.56207,1.93241,0.0010025,0.0010025,0.0010025
12,45.5532,1.522,1.18024,1.34759,0.77413,0.39022,0.49953,0.20052,2.02571,1.79659,1.64063,0.00097775,0.00097775,0.00097775
13,49.0958,1.58534,1.15388,1.35743,0.59486,0.68693,0.66258,0.25804,1.8201,1.56549,1.49709,0.000953,0.000953,0.000953
14,52.6309,1.58788,1.12532,1.34399,0.73764,0.48976,0.67834,0.29102,1.99289,1.90727,1.63499,0.00092825,0.00092825,0.00092825
15,56.155,1.57697,1.12813,1.3813,0.8102,0.4399,0.65537,0.27171,1.90722,1.51358,1.56653,0.0009035,0.0009035,0.0009035
16,60.274,1.51578,1.09247,1.33712,0.67616,0.55849,0.57832,0.2578,2.0211,1.60331,1.62108,0.00087875,0.00087875,0.00087875
17,64.5849,1.53172,1.10732,1.34096,0.59784,0.57131,0.60076,0.25427,1.88905,1.65099,1.58069,0.000854,0.000854,0.000854
18,68.8743,1.46221,1.07295,1.31399,0.56801,0.63381,0.62986,0.23393,1.98187,1.68289,1.58286,0.00082925,0.00082925,0.00082925
19,73.1888,1.43718,1.03153,1.27102,0.76646,0.75333,0.82471,0.35423,1.86959,1.3993,1.53412,0.0008045,0.0008045,0.0008045
20,77.5813,1.46455,0.96529,1.27246,0.77379,0.6978,0.79661,0.38003,1.8015,1.28833,1.49468,0.00077975,0.00077975,0.00077975
21,81.8999,1.46876,1.06044,1.32766,0.92813,0.70384,0.82672,0.39661,1.74966,1.27146,1.47285,0.000755,0.000755,0.000755
